tabla,variable,etiqueta,bloque,bloque_etiqueta,tipo,expr,denominador,tema,tema_etiqueta
fichas,salud_lugar_centropublico_h,"Acude a puesto/centro/hospital de salud público, hombres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_centropublico_h,salud_lugar_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_centropublico_m,"Acude a puesto/centro/hospital de salud público, mujeres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_centropublico_m,salud_lugar_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_domicilio,Acude a atención médica en domicilio,salud_lugar,Salud · dónde se atienden,numerica,(salud_lugar_domicilio_h + salud_lugar_domicilio_m),(salud_lugar_total_h + salud_lugar_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_domicilio_h,"Acude a atención médica en domicilio, hombres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_domicilio_h,salud_lugar_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_domicilio_m,"Acude a atención médica en domicilio, mujeres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_domicilio_m,salud_lugar_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_farmacia,Acude a farmacia sin receta o se automedica,salud_lugar,Salud · dónde se atienden,numerica,(salud_lugar_farmacia_h + salud_lugar_farmacia_m),(salud_lugar_total_h + salud_lugar_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_farmacia_h,"Acude a farmacia sin receta o se automedica, hombres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_farmacia_h,salud_lugar_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_farmacia_m,"Acude a farmacia sin receta o se automedica, mujeres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_farmacia_m,salud_lugar_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_total,Población que acude por problemas de salud,salud_lugar,Salud · dónde se atienden,numerica,(salud_lugar_total_h + salud_lugar_total_m),,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_total_h,"Población que acude por problemas de salud, hombres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_total_h,,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_total_m,"Población que acude por problemas de salud, mujeres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_total_m,,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_tradicional,Acude a médica(o) tradicional ancestral,salud_lugar,Salud · dónde se atienden,numerica,(salud_lugar_tradicional_h + salud_lugar_tradicional_m),(salud_lugar_total_h + salud_lugar_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_tradicional_h,"Acude a médica(o) tradicional ancestral, hombres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_tradicional_h,salud_lugar_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_tradicional_m,"Acude a médica(o) tradicional ancestral, mujeres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_tradicional_m,salud_lugar_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_cajasalud,Afiliado a caja de salud,salud_seguro,Salud · seguro,numerica,(salud_seguro_cajasalud_h + salud_seguro_cajasalud_m),(salud_seguro_total_h + salud_seguro_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_cajasalud_h,"Afiliado a caja de salud, hombres",salud_seguro,Salud · seguro,numerica,salud_seguro_cajasalud_h,salud_seguro_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_cajasalud_m,"Afiliado a caja de salud, mujeres",salud_seguro,Salud · seguro,numerica,salud_seguro_cajasalud_m,salud_seguro_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_ninguno,Sin seguro de salud,salud_seguro,Salud · seguro,numerica,(salud_seguro_ninguno_h + salud_seguro_ninguno_m),(salud_seguro_total_h + salud_seguro_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_ninguno_h,"Sin seguro de salud, hombres",salud_seguro,Salud · seguro,numerica,salud_seguro_ninguno_h,salud_seguro_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_ninguno_m,"Sin seguro de salud, mujeres",salud_seguro,Salud · seguro,numerica,salud_seguro_ninguno_m,salud_seguro_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_ns,Seguro de salud sin especificar,salud_seguro,Salud · seguro,numerica,(salud_seguro_ns_h + salud_seguro_ns_m),(salud_seguro_total_h + salud_seguro_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_ns_h,"Seguro de salud sin especificar, hombres",salud_seguro,Salud · seguro,numerica,salud_seguro_ns_h,salud_seguro_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_ns_m,"Seguro de salud sin especificar, mujeres",salud_seguro,Salud · seguro,numerica,salud_seguro_ns_m,salud_seguro_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_privado,Afiliado a seguro privado de salud,salud_seguro,Salud · seguro,numerica,(salud_seguro_privado_h + salud_seguro_privado_m),(salud_seguro_total_h + salud_seguro_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_privado_h,"Afiliado a seguro privado de salud, hombres",salud_seguro,Salud · seguro,numerica,salud_seguro_privado_h,salud_seguro_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_privado_m,"Afiliado a seguro privado de salud, mujeres",salud_seguro,Salud · seguro,numerica,salud_seguro_privado_m,salud_seguro_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_sus,Registrado al SUS,salud_seguro,Salud · seguro,numerica,(salud_seguro_sus_h + salud_seguro_sus_m),(salud_seguro_total_h + salud_seguro_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_sus_h,"Registrado al SUS, hombres",salud_seguro,Salud · seguro,numerica,salud_seguro_sus_h,salud_seguro_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_sus_m,"Registrado al SUS, mujeres",salud_seguro,Salud · seguro,numerica,salud_seguro_sus_m,salud_seguro_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_total,Población con registro al SUS o seguro de salud,salud_seguro,Salud · seguro,numerica,(salud_seguro_total_h + salud_seguro_total_m),,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_total_h,"Población con registro al SUS o seguro de salud, hombres",salud_seguro,Salud · seguro,numerica,salud_seguro_total_h,,salud_seguridad_social,Salud y seguridad social
fichas,salud_seguro_total_m,"Población con registro al SUS o seguro de salud, mujeres",salud_seguro,Salud · seguro,numerica,salud_seguro_total_m,,salud_seguridad_social,Salud y seguridad social
fichas,nac_aqui,Nacida aquí,nacimiento,Lugar de nacimiento,numerica,(nac_aqui_h + nac_aqui_m),(nac_total_h + nac_total_m),migracion,Migración
fichas,nac_aqui_h,"Nacida aquí, hombres",nacimiento,Lugar de nacimiento,numerica,nac_aqui_h,nac_total_h,migracion,Migración
fichas,nac_aqui_m,"Nacida aquí, mujeres",nacimiento,Lugar de nacimiento,numerica,nac_aqui_m,nac_total_m,migracion,Migración
fichas,nac_ns,Lugar de nacimiento sin especificar,nacimiento,Lugar de nacimiento,numerica,(nac_ns_h + nac_ns_m),(nac_total_h + nac_total_m),migracion,Migración
fichas,nac_ns_h,"Lugar de nacimiento sin especificar, hombres",nacimiento,Lugar de nacimiento,numerica,nac_ns_h,nac_total_h,migracion,Migración
fichas,nac_ns_m,"Lugar de nacimiento sin especificar, mujeres",nacimiento,Lugar de nacimiento,numerica,nac_ns_m,nac_total_m,migracion,Migración
fichas,nac_otromun,Nacida en otro municipio/TIOC del país,nacimiento,Lugar de nacimiento,numerica,(nac_otromun_h + nac_otromun_m),(nac_total_h + nac_total_m),migracion,Migración
fichas,nac_otromun_h,"Nacida en otro municipio/TIOC del país, hombres",nacimiento,Lugar de nacimiento,numerica,nac_otromun_h,nac_total_h,migracion,Migración
fichas,nac_otromun_m,"Nacida en otro municipio/TIOC del país, mujeres",nacimiento,Lugar de nacimiento,numerica,nac_otromun_m,nac_total_m,migracion,Migración
fichas,nac_otropais,Nacida en otro país,nacimiento,Lugar de nacimiento,numerica,(nac_otropais_h + nac_otropais_m),(nac_total_h + nac_total_m),migracion,Migración
fichas,nac_otropais_h,"Nacida en otro país, hombres",nacimiento,Lugar de nacimiento,numerica,nac_otropais_h,nac_total_h,migracion,Migración
fichas,nac_otropais_m,"Nacida en otro país, mujeres",nacimiento,Lugar de nacimiento,numerica,nac_otropais_m,nac_total_m,migracion,Migración
fichas,nac_total,Población por lugar de nacimiento,nacimiento,Lugar de nacimiento,numerica,(nac_total_h + nac_total_m),,migracion,Migración
fichas,nac_total_h,"Población por lugar de nacimiento, hombres",nacimiento,Lugar de nacimiento,numerica,nac_total_h,,migracion,Migración
fichas,nac_total_m,"Población por lugar de nacimiento, mujeres",nacimiento,Lugar de nacimiento,numerica,nac_total_m,,migracion,Migración
fichas,res_aqui,Reside habitualmente aquí,residencia,Residencia habitual,numerica,(res_aqui_h + res_aqui_m),(res_total_h + res_total_m),migracion,Migración
fichas,res_aqui_h,"Reside habitualmente aquí, hombres",residencia,Residencia habitual,numerica,res_aqui_h,res_total_h,migracion,Migración
fichas,res_aqui_m,"Reside habitualmente aquí, mujeres",residencia,Residencia habitual,numerica,res_aqui_m,res_total_m,migracion,Migración
fichas,res_ns,Residencia habitual sin especificar,residencia,Residencia habitual,numerica,(res_ns_h + res_ns_m),(res_total_h + res_total_m),migracion,Migración
fichas,res_ns_h,"Residencia habitual sin especificar, hombres",residencia,Residencia habitual,numerica,res_ns_h,res_total_h,migracion,Migración
fichas,res_ns_m,"Residencia habitual sin especificar, mujeres",residencia,Residencia habitual,numerica,res_ns_m,res_total_m,migracion,Migración
fichas,res_otromun,Reside en otro municipio/TIOC del país,residencia,Residencia habitual,numerica,(res_otromun_h + res_otromun_m),(res_total_h + res_total_m),migracion,Migración
fichas,res_otromun_h,"Reside en otro municipio/TIOC del país, hombres",residencia,Residencia habitual,numerica,res_otromun_h,res_total_h,migracion,Migración
fichas,res_otromun_m,"Reside en otro municipio/TIOC del país, mujeres",residencia,Residencia habitual,numerica,res_otromun_m,res_total_m,migracion,Migración
fichas,res_otropais,Reside en otro país,residencia,Residencia habitual,numerica,(res_otropais_h + res_otropais_m),(res_total_h + res_total_m),migracion,Migración
fichas,res_otropais_h,"Reside en otro país, hombres",residencia,Residencia habitual,numerica,res_otropais_h,res_total_h,migracion,Migración
fichas,res_otropais_m,"Reside en otro país, mujeres",residencia,Residencia habitual,numerica,res_otropais_m,res_total_m,migracion,Migración
fichas,res_total,Población por residencia habitual,residencia,Residencia habitual,numerica,(res_total_h + res_total_m),,migracion,Migración
fichas,res_total_h,"Población por residencia habitual, hombres",residencia,Residencia habitual,numerica,res_total_h,,migracion,Migración
fichas,res_total_m,"Población por residencia habitual, mujeres",residencia,Residencia habitual,numerica,res_total_m,,migracion,Migración
fichas,ocup_cuentapropia,Trabajadora(or) por cuenta propia,ocupacion,Ocupación,numerica,(ocup_cuentapropia_h + ocup_cuentapropia_m),(ocup_total_h + ocup_total_m),caracteristicas_economicas,Características económicas
fichas,ocup_cuentapropia_h,"Trabajadora(or) por cuenta propia, hombres",ocupacion,Ocupación,numerica,ocup_cuentapropia_h,ocup_total_h,caracteristicas_economicas,Características económicas
fichas,ocup_cuentapropia_m,"Trabajadora(or) por cuenta propia, mujeres",ocupacion,Ocupación,numerica,ocup_cuentapropia_m,ocup_total_m,caracteristicas_economicas,Características económicas
fichas,ocup_empleado,Empleada(o) u obrera(o),ocupacion,Ocupación,numerica,(ocup_empleado_h + ocup_empleado_m),(ocup_total_h + ocup_total_m),caracteristicas_economicas,Características económicas
fichas,ocup_empleado_h,"Empleada(o) u obrera(o), hombres",ocupacion,Ocupación,numerica,ocup_empleado_h,ocup_total_h,caracteristicas_economicas,Características económicas
fichas,ocup_empleado_m,"Empleada(o) u obrera(o), mujeres",ocupacion,Ocupación,numerica,ocup_empleado_m,ocup_total_m,caracteristicas_economicas,Características económicas
fichas,ocup_ns,Categoría ocupacional sin especificar,ocupacion,Ocupación,numerica,(ocup_ns_h + ocup_ns_m),(ocup_total_h + ocup_total_m),caracteristicas_economicas,Características económicas
fichas,ocup_ns_h,"Categoría ocupacional sin especificar, hombres",ocupacion,Ocupación,numerica,ocup_ns_h,ocup_total_h,caracteristicas_economicas,Características económicas
fichas,ocup_ns_m,"Categoría ocupacional sin especificar, mujeres",ocupacion,Ocupación,numerica,ocup_ns_m,ocup_total_m,caracteristicas_economicas,Características económicas
fichas,ocup_otros,Otra categoría ocupacional,ocupacion,Ocupación,numerica,(ocup_otros_h + ocup_otros_m),(ocup_total_h + ocup_total_m),caracteristicas_economicas,Características económicas
fichas,ocup_otros_h,"Otra categoría ocupacional, hombres",ocupacion,Ocupación,numerica,ocup_otros_h,ocup_total_h,caracteristicas_economicas,Características económicas
fichas,ocup_otros_m,"Otra categoría ocupacional, mujeres",ocupacion,Ocupación,numerica,ocup_otros_m,ocup_total_m,caracteristicas_economicas,Características económicas
fichas,ocup_total,Población de 14 o más años por categoría ocupacional,ocupacion,Ocupación,numerica,(ocup_total_h + ocup_total_m),,caracteristicas_economicas,Características económicas
fichas,ocup_total_h,"Población de 14 o más años por categoría ocupacional, hombres",ocupacion,Ocupación,numerica,ocup_total_h,,caracteristicas_economicas,Características económicas
fichas,ocup_total_m,"Población de 14 o más años por categoría ocupacional, mujeres",ocupacion,Ocupación,numerica,ocup_total_m,,caracteristicas_economicas,Características económicas
fichas,act_agricultura,"Agricultura, ganadería, silvicultura y pesca",actividad,Actividad económica,numerica,(act_agricultura_h + act_agricultura_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_agricultura_h,"Agricultura, ganadería, silvicultura y pesca, hombres",actividad,Actividad económica,numerica,act_agricultura_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_agricultura_m,"Agricultura, ganadería, silvicultura y pesca, mujeres",actividad,Actividad económica,numerica,act_agricultura_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,act_alojacomida,Alojamiento y servicio de comidas,actividad,Actividad económica,numerica,(act_alojacomida_h + act_alojacomida_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_alojacomida_h,"Alojamiento y servicio de comidas, hombres",actividad,Actividad económica,numerica,act_alojacomida_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_alojacomida_m,"Alojamiento y servicio de comidas, mujeres",actividad,Actividad económica,numerica,act_alojacomida_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,act_comercio,Comercio y reparación de vehículos,actividad,Actividad económica,numerica,(act_comercio_h + act_comercio_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_comercio_h,"Comercio y reparación de vehículos, hombres",actividad,Actividad económica,numerica,act_comercio_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_comercio_m,"Comercio y reparación de vehículos, mujeres",actividad,Actividad económica,numerica,act_comercio_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,act_construccion,Construcción,actividad,Actividad económica,numerica,(act_construccion_h + act_construccion_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_construccion_h,"Construcción, hombres",actividad,Actividad económica,numerica,act_construccion_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_construccion_m,"Construcción, mujeres",actividad,Actividad económica,numerica,act_construccion_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,act_ensenanza,Enseñanza,actividad,Actividad económica,numerica,(act_ensenanza_h + act_ensenanza_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_ensenanza_h,"Enseñanza, hombres",actividad,Actividad económica,numerica,act_ensenanza_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_ensenanza_m,"Enseñanza, mujeres",actividad,Actividad económica,numerica,act_ensenanza_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,act_manufactura,Industria manufacturera,actividad,Actividad económica,numerica,(act_manufactura_h + act_manufactura_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_manufactura_h,"Industria manufacturera, hombres",actividad,Actividad económica,numerica,act_manufactura_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_manufactura_m,"Industria manufacturera, mujeres",actividad,Actividad económica,numerica,act_manufactura_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,act_ns,Actividad económica sin especificar,actividad,Actividad económica,numerica,(act_ns_h + act_ns_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_ns_h,"Actividad económica sin especificar, hombres",actividad,Actividad económica,numerica,act_ns_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_ns_m,"Actividad económica sin especificar, mujeres",actividad,Actividad económica,numerica,act_ns_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,act_otras,Otras actividades económicas,actividad,Actividad económica,numerica,(act_otras_h + act_otras_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_otras_h,"Otras actividades económicas, hombres",actividad,Actividad económica,numerica,act_otras_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_otras_m,"Otras actividades económicas, mujeres",actividad,Actividad económica,numerica,act_otras_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,act_salud,Salud humana y asistencia social,actividad,Actividad económica,numerica,(act_salud_h + act_salud_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_salud_h,"Salud humana y asistencia social, hombres",actividad,Actividad económica,numerica,act_salud_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_salud_m,"Salud humana y asistencia social, mujeres",actividad,Actividad económica,numerica,act_salud_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,act_total,Población de 14 o más años por actividad económica,actividad,Actividad económica,numerica,(act_total_h + act_total_m),,caracteristicas_economicas,Características económicas
fichas,act_total_h,"Población de 14 o más años por actividad económica, hombres",actividad,Actividad económica,numerica,act_total_h,,caracteristicas_economicas,Características económicas
fichas,act_total_m,"Población de 14 o más años por actividad económica, mujeres",actividad,Actividad económica,numerica,act_total_m,,caracteristicas_economicas,Características económicas
fichas,act_transporte,Transporte y almacenamiento,actividad,Actividad económica,numerica,(act_transporte_h + act_transporte_m),(act_total_h + act_total_m),caracteristicas_economicas,Características económicas
fichas,act_transporte_h,"Transporte y almacenamiento, hombres",actividad,Actividad económica,numerica,act_transporte_h,act_total_h,caracteristicas_economicas,Características económicas
fichas,act_transporte_m,"Transporte y almacenamiento, mujeres",actividad,Actividad económica,numerica,act_transporte_m,act_total_m,caracteristicas_economicas,Características económicas
fichas,viv_tenencia_alquilada,Vivienda alquilada,vivienda,Vivienda,numerica,viv_tenencia_alquilada,viv_tenencia_total,vivienda_hogar,Vivienda y hogar
fichas,viv_tenencia_anticretico,Vivienda en anticrético o contrato mixto,vivienda,Vivienda,numerica,viv_tenencia_anticretico,viv_tenencia_total,vivienda_hogar,Vivienda y hogar
fichas,viv_tenencia_otra,Vivienda con otra tenencia,vivienda,Vivienda,numerica,viv_tenencia_otra,viv_tenencia_total,vivienda_hogar,Vivienda y hogar
fichas,viv_tenencia_prestada,Vivienda cedida o prestada,vivienda,Vivienda,numerica,viv_tenencia_prestada,viv_tenencia_total,vivienda_hogar,Vivienda y hogar
fichas,viv_tenencia_propia,Vivienda propia,vivienda,Vivienda,numerica,viv_tenencia_propia,viv_tenencia_total,vivienda_hogar,Vivienda y hogar
fichas,viv_tenencia_total,Viviendas ocupadas por tenencia,vivienda,Vivienda,numerica,viv_tenencia_total,,vivienda_hogar,Vivienda y hogar
fichas,viv_tipo_ausentes,Viviendas con personas temporalmente ausentes,vivienda,Vivienda,numerica,viv_tipo_ausentes,viv_total,vivienda_hogar,Vivienda y hogar
fichas,viv_tipo_colectiva,Viviendas colectivas,vivienda,Vivienda,numerica,viv_tipo_colectiva,viv_total,vivienda_hogar,Vivienda y hogar
fichas,viv_tipo_desocupada,Viviendas particulares desocupadas,vivienda,Vivienda,numerica,viv_tipo_desocupada,viv_total,vivienda_hogar,Vivienda y hogar
fichas,viv_tipo_particular,Viviendas particulares,vivienda,Vivienda,numerica,viv_tipo_particular,viv_total,vivienda_hogar,Vivienda y hogar
